"1100015","2017",25437
"1100023","2017",107345
"1100031","2017",6224
"1100049","2017",88507
"1100056","2017",17934
"1100064","2017",18467
"1100072","2017",8659
"1100080","2017",17400
"1100098","2017",33030
"1100106","2017",47451
"1100114","2017",55871
"1100122","2017",132667
"1100130","2017",38609
"1100148","2017",21747
"1100155","2017",39759
"1100189","2017",38051
"1100205","2017",519436
"1100254","2017",22124
"1100262","2017",3829
"1100288","2017",57074
"1100296","2017",8198
"1100304","2017",95630
"1100320","2017",24181
"1100338","2017",28891
"1100346","2017",16747
"1100379","2017",14045
"1100403","2017",20916
"1100452","2017",39044
"1100502","2017",10051
"1100601","2017",6460
"1100700","2017",14484
"1100809","2017",25266
"1100908","2017",3550
"1100924","2017",10593
"1100940","2017",22443
"1101005","2017",9745
"1101104","2017",10310
"1101203","2017",10751
"1101302","2017",12258
"1101401","2017",16186
"1101435","2017",7769
"1101450","2017",5904
"1101468","2017",2410
"1101476","2017",3411
"1101484","2017",5994
"1101492","2017",19694
"1101500","2017",12653
"1101559","2017",4931
"1101609","2017",11350
"1101708","2017",13106
"1101757","2017",11149
"1101807","2017",8047
"1200013","2017",14366
"1200054","2017",6986
"1200104","2017",24765
"1200138","2017",9664
"1200179","2017",11136
"1200203","2017",82622
"1200252","2017",17340
"1200302","2017",32360
"1200328","2017",7858
"1200336","2017",17910
"1200344","2017",8886
"1200351","2017",17897
"1200385","2017",18510
"1200393","2017",11353
"1200401","2017",383443
"1200427","2017",17945
"1200435","2017",6230
"1200450","2017",21552
"1200500","2017",43139
"1200609","2017",40024
"1200708","2017",18174
"1200807","2017",17459
"1300029","2017",15908
"1300060","2017",11242
"1300086","2017",12978
"1300102","2017",20196
"1300144","2017",21406
"1300201","2017",19054
"1300300","2017",38454
"1300409","2017",27743
"1300508","2017",31542
"1300607","2017",41329
"1300631","2017",18978
"1300680","2017",18483
"1300706","2017",34176
"1300805","2017",40464
"1300839","2017",12820
"1300904","2017",15490
"1301001","2017",28337
"1301100","2017",37399
"1301159","2017",29190
"1301209","2017",84762
"1301308","2017",27817
"1301407","2017",34888
"1301506","2017",19492
"1301605","2017",19669
"1301654","2017",16339
"1301704","2017",53383
"1301803","2017",28299
"1301852","2017",47407
"1301902","2017",99854
"1301951","2017",8128
"1302009","2017",9125
"1302108","2017",4205
"1302207","2017",13956
"1302306","2017",15824
"1302405","2017",44861
"1302504","2017",96460
"1302553","2017",30222
"1302603","2017",2130264
"1302702","2017",54708
"1302801","2017",18531
"1302900","2017",62212
"1303007","2017",20902
"1303106","2017",36431
"1303205","2017",18586
"1303304","2017",25112
"1303403","2017",113832
"1303502","2017",19597
"1303536","2017",34574
"1303569","2017",32001
"1303601","2017",23765
"1303700","2017",23075
"1303809","2017",44553
"1303908","2017",38047
"1303957","2017",13421
"1304005","2017",9211
"1304062","2017",63635
"1304104","2017",17930
"1304203","2017",62021
